"Plot","Total_Biomass_kg","Biomass_Density_kg_m2"
1,6392.6687684186,12.8033135426909
2,3762.96088479701,7.53650311039905
3,3856.84437476869,7.72453408809146
4,9152.55927828911,18.330855297386
5,8416.19127079268,16.8560486361431
6,7041.41804009224,14.1026363508527
7,5672.2484238138,11.3604470516134
8,8250.51801950729,16.5242362650215
9,6960.75645506165,13.9410863626695
10,5712.53981363481,11.4411431295172
11,5686.13601352173,11.3882612825433
12,8432.22619863234,16.8881635815912
13,5439.33433907157,10.8939639342344
14,5324.18896001603,10.6633493905366
15,3017.72695554703,6.04393967492493
16,4300.24834715732,8.61258887244262
17,4566.2387092363,9.14531755406232
18,4758.75357892256,9.53088863986616
19,4803.96500744249,9.62143863017902
20,8922.97719803649,17.8710455584896
21,5762.70054688955,11.5416056466062
22,7308.9745092741,14.6385016505276
23,5150.42816734184,10.3153391946971
24,4755.2957575701,9.52396327386426
25,4612.93686707658,9.23884518365715
26,9360.71576661382,18.7477536042611
27,3217.34239944691,6.44373187577219
28,4106.74597855995,8.22504001199723
29,4256.25463215492,8.52447773334119
30,6402.34616650879,12.8226955514441
