"Plot","Hardwood","Softwood"
1,91.6713148875829,28.2545069641042
2,54.14745588066,17.093667108187
3,31.2178272012652,36.5832080098553
4,119.558964708199,50.3410341216774
5,90.3320966300255,62.0644720168881
6,71.0842907566581,55.3128586476082
7,37.5458663951156,59.8534988725254
8,43.6174199530681,97.5726324656461
9,70.9306141049098,54.4054807474321
10,54.8805447456397,46.3711073390694
11,73.8981197848663,32.1244888839718
12,93.6876874935089,60.1706409970171
13,43.7715549772,51.8876930110093
14,61.2934975061876,36.7166064068054
15,28.9878216542486,24.385380106517
16,42.3490875030995,34.6290809416852
17,31.4801062527734,47.6465300950513
18,63.0418021963046,26.2076370612745
19,52.1798897074926,34.4456204977435
20,78.3640240326385,79.1569806273488
21,40.7545206125834,57.9496387056707
22,72.9817330010338,59.1997369347264
23,66.046064061626,29.7781144742825
24,66.316860106964,23.3040595731268
25,30.7578736685902,48.7879198923293
26,118.850729669481,57.2840033224728
27,42.057340498455,18.4544830640206
28,58.639259694417,19.1315637000322
29,47.2696071255597,29.7636242869169
30,63.5957527413604,51.1639291914432
