"Plot","Average_DBH","SD_DBH","Average_Height","SD_Height"
1,22.0642857142857,10.6497509720742,13.4221428571429,4.04561615244329
2,20.9318181818182,7.5416548874606,15.6836363636364,3.88888347969115
3,18.9620689655172,7.08541831576369,14.0837931034483,4.78011014053704
4,22.395,10.3423190872533,14.44725,3.94634331716376
5,24.0878787878788,10.0535987827667,15.9512121212121,4.14923920554702
6,22.2151515151515,9.74089707150095,15.0087878787879,4.65372146618687
7,20.4588235294118,8.31461355529979,13.9485294117647,3.53812408124139
8,22.3324324324324,10.7691703501259,14.5891891891892,4.27921097242781
9,20.948717948718,8.530745379751,14.9035897435897,4.14471857160251
10,21.4645161290323,8.19985968933196,15.27,4.58603677845406
11,21.184375,7.96638540185998,14.11625,4.09089764579696
12,23.371875,11.5339676293197,15.1165625,4.97737371439416
13,21.0333333333333,8.96469448037337,14.8636666666667,3.68413886755132
14,21.2428571428571,9.21526224266343,15.1857142857143,4.88818335457422
15,18.6916666666667,6.33512751092748,14.17375,4.25527070870325
16,20.4321428571429,6.79144633978974,14.2814285714286,4.6833366661006
17,19.975,6.52671927664497,15.2878125,3.66642810654783
18,19.128125,8.18358839089631,13.1346875,4.53207777199946
19,20.0151515151515,6.40147059335398,14.2427272727273,3.66567803476321
20,23.3605263157895,9.633627462897,16.1142105263158,5.33668113869495
21,22.5448275862069,7.99337163828777,15.9544827586207,4.14139606051501
22,21.9714285714286,9.85311450995158,16.1894285714286,5.36330612635919
23,19.1783783783784,7.1025478658145,14.2516216216216,4.58802215527533
24,19.9387096774194,7.35212791960508,14.4332258064516,3.63630617256649
25,19.465625,7.51414190902942,12.76375,3.99488604544974
26,23.4388888888889,11.3754441741292,14.8577777777778,4.63714820682534
27,21.0222222222222,8.52287962628729,12.8855555555556,4.15719393797168
28,20.392,7.69236201262872,13.8128,3.99142990251196
29,20.2928571428571,6.54165731472388,13.9321428571429,4.22206229855862
30,21.53125,9.65212453631407,13.6009375,4.70264054813889
