Plot,Lon,Lat
1,-68.746082,45.200351
2,-68.742221,45.200498
3,-68.738794,45.200605
4,-68.734725,45.200748
5,-68.749787,45.202925
6,-68.746611,45.202997
7,-68.743256,45.203104
8,-68.740043,45.203211
9,-68.736831,45.203247
10,-68.734119,45.203247
11,-68.751037,45.205174
12,-68.747325,45.205281
13,-68.744255,45.205352
14,-68.7414,45.205531
15,-68.738473,45.205602
16,-68.735047,45.205709
17,-68.752536,45.207565
18,-68.749359,45.207708
19,-68.746611,45.207744
20,-68.743684,45.207886
21,-68.74115,45.208065
22,-68.738009,45.208243
23,-68.753571,45.20985
24,-68.751001,45.210064
25,-68.748074,45.210349
26,-68.745254,45.210599
27,-68.742649,45.210742
28,-68.739579,45.210813
29,-68.7409,45.213133
30,-68.745469,45.197893
